Wavenumber,Transmittance
706.92313,0.98566
707.88755,0.98306
708.85198,0.97787
709.8164,0.9715
710.78082,0.96781
711.74525,0.9648
712.70967,0.95887
713.6741,0.95287
714.63852,0.94755
715.60295,0.94006
716.56737,0.92926
717.5318,0.91571
718.49622,0.90234
719.46064,0.89201
720.42507,0.88527
721.38949,0.88288
722.35392,0.88789
723.31834,0.89652
724.28277,0.90353
725.24719,0.90942
726.21162,0.91776
727.17604,0.92516
728.14046,0.92907
729.10489,0.93287
730.06931,0.93904
731.03374,0.9438
731.99816,0.94537
732.96259,0.94749
733.92701,0.95127
734.89144,0.95333
735.85586,0.95345
736.82028,0.95401
737.78471,0.95671
738.74913,0.95921
739.71356,0.95898
740.67798,0.95885
741.64241,0.96111
742.60683,0.96226
743.57126,0.96224
744.53568,0.9633
745.5001,0.96641
746.46453,0.96785
747.42895,0.96679
748.39338,0.96711
749.3578,0.96958
750.32223,0.96955
751.28665,0.96859
752.25108,0.96926
753.2155,0.97093
754.17993,0.97207
755.14435,0.97103
756.10877,0.9705
757.0732,0.97136
758.03762,0.97178
759.00205,0.97049
759.96647,0.9695
760.9309,0.9714
761.89532,0.97173
762.85975,0.97011
763.82417,0.97073
764.78859,0.9724
765.75302,0.97103
766.71744,0.96958
767.68187,0.97072
768.64629,0.97218
769.61072,0.9718
770.57514,0.97069
771.53957,0.97204
772.50399,0.97358
773.46841,0.97167
774.43284,0.96977
775.39726,0.97028
776.36169,0.9711
777.32611,0.96996
778.29054,0.96942
779.25496,0.97066
780.21939,0.97209
781.18381,0.97053
782.14823,0.96979
783.11266,0.97115
784.07708,0.97157
785.04151,0.96986
786.00593,0.97004
786.97036,0.97281
787.93478,0.97356
788.89921,0.97435
789.86363,0.97597
790.82805,0.97643
791.79248,0.97698
792.7569,0.97755
793.72133,0.97708
794.68575,0.97741
795.65018,0.97912
796.6146,0.9791
797.57903,0.97828
798.54345,0.97947
799.50787,0.98063
800.4723,0.97831
801.43672,0.97899
802.40115,0.98177
803.36557,0.98114
804.33,0.97971
805.29442,0.98107
806.25885,0.98374
807.22327,0.98368
808.18769,0.98181
809.15212,0.98231
810.11654,0.983
811.08097,0.98211
812.04539,0.98141
813.00982,0.98162
813.97424,0.98199
814.93867,0.98189
815.90309,0.98086
816.86751,0.98161
817.83194,0.98215
818.79636,0.98094
819.76079,0.97925
820.72521,0.97962
821.68964,0.98054
822.65406,0.97947
823.61849,0.97788
824.58291,0.97847
825.54733,0.98055
826.51176,0.98086
827.47618,0.98094
828.44061,0.98349
829.40503,0.98699
830.36946,0.98838
831.33388,0.98885
832.29831,0.99076
833.26273,0.99092
834.22715,0.98729
835.19158,0.98305
836.156,0.98184
837.12043,0.98071
838.08485,0.97749
839.04928,0.97511
840.0137,0.97544
840.97813,0.97515
841.94255,0.97307
842.90698,0.97172
843.8714,0.97212
844.83582,0.97207
845.80025,0.96999
846.76467,0.96897
847.7291,0.97033
848.69352,0.97117
849.65795,0.96952
850.62237,0.96766
851.5868,0.96878
852.55122,0.96876
853.51564,0.96671
854.48007,0.96574
855.44449,0.96665
856.40892,0.96635
857.37334,0.96413
858.33777,0.96319
859.30219,0.96389
860.26662,0.96249
861.23104,0.95953
862.19546,0.95908
863.15989,0.95957
864.12431,0.95847
865.08874,0.95618
866.05316,0.95518
867.01759,0.95587
867.98201,0.95468
868.94644,0.95194
869.91086,0.95092
870.87528,0.95153
871.83971,0.95058
872.80413,0.94916
873.76856,0.94946
874.73298,0.95079
875.69741,0.94932
876.66183,0.94739
877.62626,0.94837
878.59068,0.94902
879.5551,0.94723
880.51953,0.94552
881.48395,0.94598
882.44838,0.94651
883.4128,0.94483
884.37723,0.94254
885.34165,0.94188
886.30608,0.94171
887.2705,0.93951
888.23492,0.93759
889.19935,0.9378
890.16377,0.93855
