Wavelength,Transmittance
1012.6284,0.16726
1014.55722,0.14993
1016.48603,0.13464
1018.41485,0.12124
1020.34366,0.1091
1022.27248,0.0981
1024.2013,0.08765
1026.13011,0.07738
1028.05893,0.06699
1029.98774,0.05727
1031.91656,0.04965
1033.84538,0.04655
1035.77419,0.04915
1037.70301,0.05659
1039.63182,0.06523
1041.56064,0.07113
1043.48946,0.07129
1045.41827,0.06578
1047.34709,0.05607
1049.2759,0.04438
1051.20472,0.03215
1053.13354,0.02104
1055.06235,0.0115
1056.99117,0.00412
1058.91998,0
1060.8488,0.00155
1062.77762,0.00892
1064.70643,0.02041
1066.63525,0.03336
1068.56406,0.04658
1070.49288,0.05922
1072.4217,0.07148
1074.35051,0.08358
1076.27933,0.09671
1078.20814,0.11116
1080.13696,0.12637
1082.06578,0.14033
1083.99459,0.15193
1085.92341,0.1609
1087.85222,0.16825
1089.78104,0.17436
1091.70986,0.17925
1093.63867,0.18211
1095.56749,0.183
1097.4963,0.18171
1099.42512,0.17829
1101.35394,0.17271
1103.28275,0.16623
1105.21157,0.15958
1107.14038,0.15314
1109.0692,0.14667
1110.99802,0.14224
1112.92683,0.14298
1114.85565,0.15102
1116.78446,0.16418
1118.71328,0.1791
1120.6421,0.1936
1122.57091,0.20862
1124.49973,0.22587
1126.42854,0.24689
1128.35736,0.27092
1130.28618,0.29631
1132.21499,0.32161
1134.14381,0.34659
1136.07262,0.37001
1138.00144,0.38936
1139.93026,0.40163
1141.85907,0.40555
1143.78789,0.40154
1145.7167,0.39149
1147.64552,0.37722
1149.57434,0.36012
1151.50315,0.34069
1153.43197,0.32026
1155.36078,0.30007
1157.2896,0.2814
1159.21842,0.26546
1161.14723,0.25489
1163.07605,0.25234
1165.00486,0.25973
1166.93368,0.27675
1168.8625,0.30176
1170.79131,0.33184
1172.72013,0.36464
1174.64894,0.39836
1176.57776,0.43201
1178.50658,0.46458
1180.43539,0.49565
1182.36421,0.52475
1184.29302,0.55094
1186.22184,0.57307
1188.15066,0.59041
1190.07947,0.60235
1192.00829,0.6087
1193.9371,0.61027
1195.86592,0.60878
1197.79474,0.60636
1199.72355,0.60508
1201.65237,0.60615
1203.58118,0.61002
1205.51,0.61761
1207.43882,0.63021
1209.36763,0.64704
1211.29645,0.66466
1213.22526,0.67963
1215.15408,0.69063
1217.0829,0.6981
1219.01171,0.70274
1220.94053,0.70492
1222.86934,0.70446
1224.79816,0.70191
1226.72698,0.69821
1228.65579,0.69388
1230.58461,0.68875
1232.51342,0.68352
1234.44224,0.67988
1236.37106,0.67865
1238.29987,0.67855
1240.22869,0.6778
1242.1575,0.67576
1244.08632,0.6734
1246.01514,0.67179
1247.94395,0.67128
1249.87277,0.67106
1251.80158,0.6703
1253.7304,0.66838
1255.65922,0.66537
1257.58803,0.66142
1259.51685,0.65832
1261.44566,0.65839
1263.37448,0.66219
1265.3033,0.66781
1267.23211,0.6731
1269.16093,0.67649
1271.08974,0.67781
1273.01856,0.67817
1274.94738,0.67769
1276.87619,0.67459
1278.80501,0.66889
1280.73382,0.6647
1282.66264,0.66583
1284.59146,0.671
1286.52027,0.67596
